item_name,current_price,old_price_element,item_discount_element,item_link,discount
Fashion Mens Vintage Graffiti Floral Pattern Shirts Hawaii Beach Shirt Casual-Red,773.0,2.0,40.0,/fashion-mens-vintage-graffiti-floral-pattern-shirts-hawaii-beach-shirt-casual-red-73818549.html,40.0
Christmas Light LED Warm White,699.0,0.0,42.0,/generic-christmas-light-led-warm-white-95604380.html,42.0
Fingerprint Light Bluetooth 5.0 Headset Wireless 4D Stereo Headset,599.0,,34.0,/fingerprint-touch-bluetooth-5.0-earphones-wireless-4d-stereo-headphones-generic-mpg268693.html,34.0
Fashion 3PCs Hottest Back Love Ring Sexy Thong Panty,699.0,,22.0,/fashion-3pcs-hottest-back-love-ring-sexy-thong-panty-90413040.html,22.0
V9 Bluetooth Earbuds Headset Wireless Earphone-Black,499.0,,38.0,/v9-bluetooth-headphones-headset-wireless-earphone-black-generic-mpg322603.html,38.0
Backpack Laptop Bag Men Bag Satchel School Bag Purse Wallet Anti Theft Bag Large Capacity,1149.0,8.0,30.0,/generic-backpack-laptop-bag-men-bag-satchel-school-bag-purse-wallet-anti-theft-bag-large-capacity-35103390.html,30.0
Vitron V527 - 2.1CH Multimedia Speaker BT/USB/SD/FM - 9000W,6649.0,9.0,34.0,/vitron-v527-2.1ch-multimedia-speaker-btusbsdfm-9000w-114684364.html,34.0
Deliya 2200W Hair Blow Dryer+6 Gifts,1871.0,3.0,46.0,/2200w-hair-dryer-professional-hair-styling-tools-6-gifts-fashion-mpg256883.html,46.0
Tisa Nyota Travel Laptop Bag Backpack Bag Shoulder Bag With USB Port,1300.0,0.0,35.0,/tisa-nyota-travel-laptop-bag-backpack-bag-shoulder-bag-with-usb-port-156558881.html,35.0
D20 Bluetooth-compatible Rechargeable Smart Watch Clock-Pink,586.0,2.0,50.0,/generic-d20-bluetooth-compatible-rechargeable-smart-watch-clock-pink-48585963.html,50.0
Fashion 2 In 1 Tracksuits Mens Suits Track Suit Sportswear,1950.0,4.0,49.0,/fashion-2-in-1-tracksuits-mens-suits-track-suit-sportswear-114674286.html,49.0
Fashion Men Black Pocket Casual Pants Cargo Pants Harem Joggers,1035.0,1.0,36.0,/men-black-pocket-casual-pants-cargo-pants-harem-joggers-fashion-mpg423077.html,36.0
Itel S23 128GB + 4GB Android 12 +SMARTNETS 1,13339.0,0.0,33.0,/s23-128gb-4gb-android-12wiz-itel-mpg1933523.html,33.0
Sokany F9 Wireless Bluetooth  Earphone  Touch Mini Earbuds - Black,890.0,0.0,44.0,/sokany-f9-wireless-bluetooth-earphone-touch-mini-earbuds-black-33266024.html,44.0
Fashion Black Sling Bag Retro Designer Small Round Bag Mini Bags  Women Handbags,550.0,0.0,45.0,/fashion-black-sling-bag-retro-designer-small-round-bag-mini-bags-women-handbags-127924937.html,45.0
Fashion Men's Casual Windbreak Lightweight Blazer Zipper Jacket & Coats - Dark Gray,950.0,5.0,9.0,/fashion-mens-casual-windbreak-lightweight-blazer-zipper-jacket-coats-dark-gray-44209265.html,9.0
Kericho Gold Kericho Gold S&T 100's,244.0,,8.0,/kericho-gold-kericho-gold-st-100s-61229773.html,8.0
"Itel A04, 6.3"", Display Size2GB RAM + 32GB ROM, (Dual SIM), 4000mAh,sply""",8690.0,0.0,28.0,/a04-6.3-2gb-ram-32gb-rom-dual-sim-4000mah-ms-itel-mpg1520662.html,28.0
Wireless Bluetooth Headsets Earphone Earpods Stereo Hifi 5.0,585.0,4.0,43.0,/generic-wireless-bluetooth-headsets-earphone-earpods-stereo-hifi-5.0-60921818.html,43.0
Kericho Gold Kericho Gold Loose Tea - 250g,214.0,,3.0,/kericho-gold-kericho-gold-loose-tea-250g-48448383.html,3.0
Fashion 3 In 1 Men's T-Shirt Short Hello Africa Sleeve Shorts Set With Chain Black,899.0,9.0,34.0,/fashion-3-in-1-mens-t-shirt-short-hello-africa-sleeve-shorts-set-with-chain-black-129754311.html,34.0
Bluetooth Keyboard Portable Mini Wireless Keyboard Rechargeable For IPad Tablet,620.0,7.0,45.0,/generic-bluetooth-keyboard-portable-mini-wireless-keyboard-rechargeable-for-ipad-tablet-140939405.html,45.0
Zesta Zesta Hot & Sweet Sauce - 720g,135.0,,8.0,/hot-sweet-sauce-720g-zesta-mpg302703.html,8.0
Bacardi Bacardi Carta De Oro 750ml,1782.0,4.0,8.0,/bacardi-bacardi-carta-de-oro-750ml-86767653.html,8.0
Electric Cooker / Single Spiral Coil Hotplate,990.0,0.0,45.0,/generic-electric-cooker-single-spiral-coil-hotplate-81795795.html,45.0
Adidas Adilette Aqua Slides Unisex,2760.0,0.0,40.0,/adidas-adilette-aqua-slides-unisex-94262502.html,40.0
Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black,14399.0,99.0,28.0,/samsung-galaxy-a04e-32gb-rom-3gb-ram-6.5-5000mah-battery-black-123460630.html,28.0
"Phelistar Antenna Aerial & 14"" - 43"" Mount For Digital TV",850.0,0.0,43.0,/phelistar-antenna-aerial-14-43-mount-for-digital-tv-47911218.html,43.0
37 Grids Silicon Ice Cube Maker Tray + Top Cover,399.0,,43.0,/generic-37-grids-silicon-ice-cube-maker-tray-top-cover-74019401.html,43.0
Wireless Earbuds Bluetooth Earphones 5.1 Gaming Earphones Touch Control Headphones,799.0,9.0,49.0,/generic-wireless-earbuds-bluetooth-earphones-5.1-gaming-earphones-touch-control-headphones-153501296.html,49.0
Menengai Menengai Cream Bar Soap – 500g,91.0,,35.0,/menengai-menengai-cream-bar-soap-500g-125926463.html,35.0
POHB 64GB Ultra MicroSD 106Mb/s Speed Memory Card+Free Adapter,690.0,0.0,31.0,/pohb-64gb-ultra-microsd-106mbs-speed-memory-cardfree-adapter-152925519.html,31.0
Fashion Knitted Beaines Skullies Beanies Bonnet--Navy Blue,799.0,1.0,47.0,/knitted-beaines-skullies-beanies-bonnet-navy-blue-fashion-mpg348398.html,47.0
"Roch RFR-110D-B Double Door Fridge, 85L - Silver",21699.0,99.0,15.0,/roch-rfr-110d-b-double-door-fridge-85l-silver-151444614.html,15.0
5 By 8 Soft Fluffy Patches Carpets Non-slip Rugs Floor Mat,2599.0,0.0,35.0,/generic-5-by-8-soft-fluffy-patches-carpets-non-slip-rugs-floor-mat-125563844.html,35.0
Fashion 4pcs Men Underwear Boxers Panties Comfortable Soft,590.0,9.0,48.0,/fashion-4pcs-men-underwear-boxers-panties-comfortable-soft-88653760.html,48.0
Macaroon Bluetooth Wireless EarphonesEarbuds-White,549.0,,39.0,/generic-macaroon-bluetooth-wireless-earphonesearbuds-white-45393263.html,39.0
VITIKE Fashion Sneakers Men's Shoes - Black+White,1590.0,0.0,40.0,/vitike-fashion-sneakers-mens-shoes-blackwhite-61979595.html,40.0
"Amtec AM-808 Sub Woofer Sound System -BT/USB/FM-4,000 WATTS",2999.0,0.0,9.0,/amtec-am-808-sub-woofer-sound-system-btusbfm-4000-watts-73843371.html,9.0
Tisa Nyota Ladies Handbags PU Leather Bucket Bags 3 In 1-Pink,1290.0,0.0,36.0,/tisa-nyota-ladies-handbags-pu-leather-bucket-bags-3-in-1-pink-69713316.html,36.0
Fashion Mens Boots Lace Up Shoes,2599.0,9.0,21.0,/fashion-mens-boots-lace-up-shoes-81900600.html,21.0
Electric Automatic Water Dispenser Pump Rechargeable White,615.0,0.0,44.0,/generic-electric-automatic-water-dispenser-pump-rechargeable-white-131574904.html,44.0
Fashion Men's Shoes Leather Sandals Soft Sole Sandals Beach Shoes Breathable Lace Up,1180.0,1.0,49.0,/fashion-mens-shoes-leather-sandals-soft-sole-sandals-beach-shoes-breathable-lace-up-76711071.html,49.0
Fashion Ladies Shoes Athletic Shoes Thick-soled  Casual Shoes Fashion Sneakers,899.0,9.0,44.0,/fashion-ladies-shoes-athletic-shoes-thick-soled-casual-shoes-fashion-sneakers-153634919.html,44.0
Adult Travelling Neck Pillow- Black,699.0,,22.0,/adult-travelling-neck-pillow-black-generic-mpg382500.html,22.0
10-piece Stackable Stainless Steel Handle Precision Spoon Measuring Spoon Set,699.0,,22.0,/generic-10-piece-stackable-stainless-steel-handle-precision-spoon-measuring-spoon-set-126318156.html,22.0
Fashion Men Comfortable Gentle Casual Running Lace-up Sneakers Outdoor Sport Shoes Black,1760.0,9.0,58.0,/fashion-men-comfortable-gentle-casual-running-lace-up-sneakers-outdoor-sport-shoes-black-57788776.html,58.0
NIVEA Watermelon Shine Lip Balm For Women - 4.8g (Pack Of 2),725.0,,10.0,/watermelon-shine-lip-balm-for-women-4.8g-pack-of-2-nivea-mpg434415.html,10.0
Fashion Men Short Wallet Business Billfold Black Wallet PU Leather Wallet Card Holder,299.0,,40.0,/fashion-men-short-wallet-business-billfold-black-wallet-pu-leather-wallet-card-holder-152071349.html,40.0
Qwen Mini Wireless Mouse  & Keyboard Combo -Black,1270.0,0.0,37.0,/qwen-mini-wireless-mouse-keyboard-combo-black-65472353.html,37.0
Sunlight 2 in 1 Hand Washing Powder Tropical Sensations - 500g,190.0,,9.0,/sunlight-2-in-1-hand-washing-powder-tropical-sensations-500g-122421710.html,9.0
